dataset,seed,protocol,trials,selected_alpha,internal_auc,external_auc,optimism_gap,internal_pr_auc,external_pr_auc,optimism_gap_pr,n_train,n_val,n_test,n_ext
higgs_label_shuffle,1,anti_leakage,20,1.5052763845442586e-06,0.5009715475052832,0.4976788672106645,0.0032926802946185,0.5302552583880221,0.527917286391952,0.0023379719960701,450000,150000,150000,250000
higgs_label_shuffle,1,leaky,20,1.2349121088775578e-06,0.5018760164469535,0.4999797059703058,0.0018963104766476,0.530157228020804,0.5300098126196053,0.0001474154011986,450000,150000,150000,250000
higgs_label_shuffle,2,anti_leakage,20,3.705689282269606e-05,0.5022704016600388,0.4992602260584637,0.003010175601575,0.530427361522483,0.5291048595363951,0.0013225019860879,450000,150000,150000,250000
higgs_label_shuffle,2,leaky,20,2.259524677020433e-05,0.5027903386699227,0.4999458389243801,0.0028444997455425,0.530543811964584,0.5291802514088234,0.0013635605557605,450000,150000,150000,250000
higgs_label_shuffle,3,anti_leakage,20,4.49378334759e-06,0.501655071695831,0.499501749369605,0.002153322326226,0.532237989691481,0.5303113151152924,0.0019266745761885,450000,150000,150000,250000
higgs_label_shuffle,3,leaky,20,0.0003517746532266,0.501906045944985,0.5003436289134965,0.0015624170314885,0.5310297499445833,0.5291551568981434,0.0018745930464398,450000,150000,150000,250000
higgs_label_shuffle,4,anti_leakage,20,7.142359880631613e-05,0.5001931721798252,0.499735372378169,0.0004577998016561,0.529499190146387,0.5302554797465231,-0.000756289600136,450000,150000,150000,250000
higgs_label_shuffle,4,leaky,20,1.2431460286532942e-05,0.5011569320791734,0.50127831279137,-0.0001213807121965,0.5316460722956265,0.5299478834955634,0.0016981888000631,450000,150000,150000,250000
higgs_label_shuffle,5,anti_leakage,20,2.767587009534625e-05,0.4986972818361004,0.5008864537051758,-0.0021891718690753,0.5290713806133956,0.5309428421109136,-0.0018714614975179,450000,150000,150000,250000
higgs_label_shuffle,5,leaky,20,0.0001090411068276,0.5020134359086532,0.500998105020768,0.0010153308878851,0.5330764967069825,0.5311329744640242,0.0019435222429583,450000,150000,150000,250000
higgs_label_shuffle,6,anti_leakage,20,1.802747716596279e-06,0.4993722300440296,0.5000051739973199,-0.0006329439532903,0.5297203720524462,0.5305457344071727,-0.0008253623547265,450000,150000,150000,250000
higgs_label_shuffle,6,leaky,20,1.8524584117523143e-05,0.5020080662409839,0.5025983409401453,-0.0005902746991613,0.5305157569178958,0.5304561229761218,5.96339417739955e-05,450000,150000,150000,250000
higgs_label_shuffle,7,anti_leakage,20,4.4898672098303765e-05,0.4978452793716603,0.5005504121521653,-0.002705132780505,0.5267398057536241,0.5306600117476249,-0.0039202059940007,450000,150000,150000,250000
higgs_label_shuffle,7,leaky,20,7.174653672691419e-06,0.5035842596810363,0.5009483121286251,0.0026359475524111,0.5323493837492546,0.5302397928707467,0.0021095908785078,450000,150000,150000,250000
higgs_label_shuffle,8,anti_leakage,20,1.3985488948423374e-06,0.5028043113487393,0.499370709067619,0.0034336022811202,0.532357239649857,0.5293871162033575,0.0029701234464994,450000,150000,150000,250000
higgs_label_shuffle,8,leaky,20,6.184060846572249e-06,0.5011378778585859,0.497917178313338,0.0032206995452478,0.5315665406671235,0.5277154415604612,0.0038510991066622,450000,150000,150000,250000
higgs_label_shuffle,9,anti_leakage,20,1.0713515196721977e-05,0.501031959031857,0.5007568344396689,0.0002751245921881,0.5305953911144888,0.5308900777384657,-0.0002946866239769,450000,150000,150000,250000
higgs_label_shuffle,9,leaky,20,0.0003577570470691,0.5018696650103566,0.5009829345708376,0.0008867304395189,0.5310734383206782,0.5310710249385308,2.413382147459231e-06,450000,150000,150000,250000
higgs_label_shuffle,10,anti_leakage,20,6.692434126013036e-06,0.500901699989346,0.499695300568864,0.0012063994204819,0.5319042265288292,0.528556926909143,0.0033472996196861,450000,150000,150000,250000
higgs_label_shuffle,10,leaky,20,6.202007501100955e-05,0.5030914327312896,0.5024307267796237,0.0006607059516658,0.5318149604939831,0.531907729155507,-9.276866152385654e-05,450000,150000,150000,250000
higgs_label_shuffle,11,anti_leakage,20,6.60046429432295e-06,0.4985961582093056,0.5013609421881707,-0.0027647839788651,0.5280749634965263,0.5304777822334267,-0.0024028187369004,450000,150000,150000,250000
higgs_label_shuffle,11,leaky,20,1.6611935286467477e-06,0.5021169482151085,0.4980823932725676,0.0040345549425409,0.5314877324990672,0.5278864233353102,0.003601309163757,450000,150000,150000,250000
higgs_label_shuffle,12,anti_leakage,20,1.0875488681809948e-05,0.5020599434427702,0.5020854905094829,-2.554706671276108e-05,0.530626451770956,0.5318082599276459,-0.0011818081566898,450000,150000,150000,250000
higgs_label_shuffle,12,leaky,20,1.1364763621401768e-06,0.5022502678147619,0.4998968138562911,0.0023534539584707,0.5325493440083608,0.5298474102924011,0.0027019337159597,450000,150000,150000,250000
higgs_label_shuffle,13,anti_leakage,20,0.0002442577259285,0.4997803975765919,0.4999082930025191,-0.0001278954259272,0.5290195579389853,0.530229383570821,-0.0012098256318356,450000,150000,150000,250000
higgs_label_shuffle,13,leaky,20,0.0001782371217686,0.5042473138199572,0.4999608452442922,0.004286468575665,0.5342053667831169,0.5294148553388537,0.0047905114442632,450000,150000,150000,250000
higgs_label_shuffle,14,anti_leakage,20,6.011619884074607e-05,0.5012691635391661,0.5004551470560918,0.0008140164830742,0.5305085318085452,0.5300088618985324,0.0004996699100128,450000,150000,150000,250000
higgs_label_shuffle,14,leaky,20,6.011619884074607e-05,0.5018951435464446,0.4997247547298873,0.0021703888165572,0.5309613112980553,0.5297608427189534,0.0012004685791019,450000,150000,150000,250000
higgs_label_shuffle,15,anti_leakage,20,2.991748774641868e-06,0.5026984327525925,0.49940457373717584,0.003293859015416678,0.532584315317502,0.5292412452737243,0.0033430700437777627,450000,150000,150000,250000
higgs_label_shuffle,15,leaky,20,1.412158105791648e-06,0.5027667148439514,0.4996283129779727,0.0031384018659786905,0.5319166752789323,0.5294207326935939,0.002495942585338362,450000,150000,150000,250000
