dataset,protocol,trials,mean_gap,sd_gap,mean_gap_pr,sd_gap_pr,mean_internal_auc,mean_external_auc,mean_internal_pr_auc,mean_external_pr_auc,mean_runtime_sec
higgs,anti_leakage,20,0.001104975071964646,0.0012610229269234905,0.0013729174191391043,0.002088755007257471,0.6833540083468415,0.6822490332748768,0.6822377358412703,0.6808648184221312,217.73428061464801
higgs,leaky,20,0.001025020952894325,0.0011243009232918685,0.0014036915793397646,0.0019508988664835,0.6829239435433551,0.6818989225904607,0.6824696703507013,0.6810659787713614,234.4879916976206
