dataset,seed,protocol,trials,runtime_sec,selected_alpha,internal_auc,external_auc,optimism_gap,internal_pr_auc,external_pr_auc,optimism_gap_pr,n_train,n_val,n_test,n_ext
higgs,1,leaky,20,263.6028027581051,0.0007006307706914546,0.6839068204919825,0.6823027208001227,0.0016040996918598172,0.6830905780735226,0.6814381966071472,0.0016523814663753633,450000,150000,150000,250000
higgs,1,anti_leakage,20,224.9197377259843,0.0008299453907127825,0.6835784795329775,0.6817607289899629,0.0018177505430145846,0.6822091112618368,0.6803359977669632,0.0018731134948736239,450000,150000,150000,250000
higgs,2,leaky,20,241.8401523688808,0.0005151250236867866,0.6821482875138489,0.6824190630678896,-0.00027077555404064757,0.6806529344195694,0.6813125620982527,-0.0006596276786833277,450000,150000,150000,250000
higgs,2,anti_leakage,20,237.4079083027318,0.0003746441533601641,0.6828857208627888,0.6832367435336375,-0.00035102267084874406,0.6819631558358759,0.6828836794005404,-0.0009205235646645438,450000,150000,150000,250000
higgs,3,leaky,20,198.0210199658759,0.000716851503976004,0.6827167226242337,0.6809749839033699,0.0017417387208638058,0.6836654985590116,0.6804471776086843,0.003218320950327258,450000,150000,150000,250000
higgs,3,anti_leakage,20,190.87519581522793,0.000716851503976004,0.6835978246447583,0.6817496273010302,0.0018481973437280974,0.6825409404260986,0.6793747780988904,0.003166162327208233,450000,150000,150000,250000
